,MaxTemperatureF,MeanTemperatureF,MinTemperatureF,MaxDewPointF,MeanDewPointF,MinDewpointF,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLevelPressureIn,MeanSeaLevelPressureIn,MinSeaLevelPressureIn,MaxVisibilityMiles,MeanVisibilityMiles,MinVisibilityMiles,MaxWindSpeedMPH,MeanWindSpeedMPH,MaxGustSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees<br/>
2014-08-29,71,66,60,61,60,57,97,83,68,29.98,29.93,29.89,10,10,9,25,10,32,0.00,6,,288<br />
2014-08-30,80,72,63,61,59,55,93,69,45,29.93,29.9,29.86,10,10,10,29,16,36,0.00,3,,282<br />
2014-08-31,75,69,62,60,58,55,90,74,57,29.94,29.89,29.85,10,10,10,26,12,31,0.00,1,,289<br />
2014-08-01,72,66,59,58,57,57,90,76,61,29.93,29.9,29.87,10,10,10,24,15,29,0.00,3,,297<br />
2014-08-02,69,64,59,57,56,55,93,78,63,29.96,29.93,29.91,10,10,10,27,16,33,0.00,4,,286<br />
2014-08-03,70,65,60,57,56,55,84,73,61,29.98,29.95,29.93,10,10,10,22,11,28,0.00,6,,254<br />
2014-08-04,75,68,60,59,57,55,84,73,61,30.01,29.97,29.94,10,10,10,16,9,22,0.00,6,,261<br />
2014-08-05,74,68,62,62,58,57,84,75,66,30.08,30.03,30.0,10,10,10,23,11,26,0.00,6,,296<br />
2014-08-06,77,69,60,62,59,57,90,75,60,30.03,30.0,29.95,10,10,10,23,13,28,T,6,Rain,295<br />
2014-08-07,70,65,60,58,57,56,90,77,63,29.98,29.96,29.91,10,10,10,26,12,30,0.00,4,,285<br />
2014-08-08,74,67,60,56,55,54,84,69,53,29.94,29.91,29.88,10,10,10,22,11,25,0.00,2,,292<br />
2014-08-09,70,65,59,56,55,54,87,74,61,30.0,29.96,29.91,10,10,10,25,14,29,0.00,5,,260<br />
2014-08-10,77,69,60,60,57,55,84,69,54,30.01,29.97,29.93,10,10,10,18,8,22,0.00,5,,235<br />
2014-08-11,79,70,61,60,57,56,84,66,48,29.96,29.94,29.89,10,10,10,20,8,26,0.00,4,,285<br />
2014-08-12,77,70,62,59,57,55,84,69,54,29.99,29.95,29.93,10,10,10,22,11,26,0.00,5,,249<br />
2014-08-13,77,69,61,59,57,55,90,72,54,30.01,29.97,29.94,10,10,10,28,13,32,0.00,3,,285<br />
2014-08-14,74,67,60,59,58,57,90,76,61,29.98,29.94,29.9,10,10,10,24,12,28,0.00,3,,298<br />
2014-08-15,74,67,60,61,58,55,90,74,57,30.01,29.97,29.94,10,10,10,24,11,28,0.00,3,,293<br />
2014-08-16,73,66,59,61,58,57,97,79,61,30.05,30.01,29.96,10,10,10,25,11,29,0.00,4,,304<br />
2014-08-17,72,65,57,59,57,55,97,79,61,30.04,29.99,29.93,10,10,10,28,12,31,0.00,5,,287<br />
2014-08-18,70,65,60,58,57,56,90,78,66,29.93,29.88,29.84,10,10,7,24,11,32,0.00,6,,265<br />
2014-08-19,75,68,60,59,58,57,90,74,57,29.88,29.85,29.81,10,10,8,17,7,25,0.00,5,,212<br />
2014-08-20,73,68,62,59,58,57,84,73,61,29.94,29.9,29.86,10,10,10,24,9,29,0.00,3,,204<br />
2014-08-21,74,68,61,61,59,57,97,81,64,29.97,29.93,29.91,10,10,10,25,10,30,0.00,2,,275<br />
2014-08-22,77,68,59,61,58,55,97,77,56,29.95,29.93,29.91,10,10,10,25,9,30,0.00,2,,276<br />
2014-08-23,75,66,57,59,56,54,93,72,50,29.96,29.91,29.86,10,10,10,14,6,24,0.00,2,,281<br />
2014-08-24,75,67,58,59,56,54,87,72,57,29.91,29.87,29.83,10,10,10,22,10,25,0.00,3,,264<br />
2014-08-25,74,68,61,57,56,54,84,69,53,29.96,29.89,29.86,10,10,10,20,8,25,0.00,4,,218<br />
2014-08-26,74,67,59,58,56,54,84,71,57,30.02,29.98,29.95,10,10,10,23,11,28,0.00,1,,283<br />
2014-08-27,74,67,60,61,59,58,90,76,61,30.07,30.03,30.0,10,10,10,26,12,30,0.00,1,,295<br />
2014-08-28,74,67,59,61,59,57,97,79,61,30.08,30.03,29.94,10,10,10,30,12,33,0.00,3,,293<br />
2014-08-29,71,66,60,61,60,57,97,83,68,29.98,29.93,29.89,10,10,9,25,10,32,0.00,6,,288<br />
2014-08-30,80,72,63,61,59,55,93,69,45,29.93,29.9,29.86,10,10,10,29,16,36,0.00,3,,282<br />
2014-08-31,75,69,62,60,58,55,90,74,57,29.94,29.89,29.85,10,10,10,26,12,31,0.00,1,,289<br />
2014-08-01,72,66,59,58,57,57,90,76,61,29.93,29.9,29.87,10,10,10,24,15,29,0.00,3,,297<br />
2014-08-02,69,64,59,57,56,55,93,78,63,29.96,29.93,29.91,10,10,10,27,16,33,0.00,4,,286<br />
2014-08-03,70,65,60,57,56,55,84,73,61,29.98,29.95,29.93,10,10,10,22,11,28,0.00,6,,254<br />
2014-08-04,75,68,60,59,57,55,84,73,61,30.01,29.97,29.94,10,10,10,16,9,22,0.00,6,,261<br />
2014-08-05,74,68,62,62,58,57,84,75,66,30.08,30.03,30.0,10,10,10,23,11,26,0.00,6,,296<br />
2014-08-06,77,69,60,62,59,57,90,75,60,30.03,30.0,29.95,10,10,10,23,13,28,T,6,Rain,295<br />
2014-08-07,70,65,60,58,57,56,90,77,63,29.98,29.96,29.91,10,10,10,26,12,30,0.00,4,,285<br />
2014-08-08,74,67,60,56,55,54,84,69,53,29.94,29.91,29.88,10,10,10,22,11,25,0.00,2,,292<br />
2014-08-09,70,65,59,56,55,54,87,74,61,30.0,29.96,29.91,10,10,10,25,14,29,0.00,5,,260<br />
2014-08-10,77,69,60,60,57,55,84,69,54,30.01,29.97,29.93,10,10,10,18,8,22,0.00,5,,235<br />
2014-08-11,79,70,61,60,57,56,84,66,48,29.96,29.94,29.89,10,10,10,20,8,26,0.00,4,,285<br />
2014-08-12,77,70,62,59,57,55,84,69,54,29.99,29.95,29.93,10,10,10,22,11,26,0.00,5,,249<br />
2014-08-13,77,69,61,59,57,55,90,72,54,30.01,29.97,29.94,10,10,10,28,13,32,0.00,3,,285<br />
2014-08-14,74,67,60,59,58,57,90,76,61,29.98,29.94,29.9,10,10,10,24,12,28,0.00,3,,298<br />
2014-08-15,74,67,60,61,58,55,90,74,57,30.01,29.97,29.94,10,10,10,24,11,28,0.00,3,,293<br />
2014-08-16,73,66,59,61,58,57,97,79,61,30.05,30.01,29.96,10,10,10,25,11,29,0.00,4,,304<br />
2014-08-17,72,65,57,59,57,55,97,79,61,30.04,29.99,29.93,10,10,10,28,12,31,0.00,5,,287<br />
2014-08-18,70,65,60,58,57,56,90,78,66,29.93,29.88,29.84,10,10,7,24,11,32,0.00,6,,265<br />
2014-08-19,75,68,60,59,58,57,90,74,57,29.88,29.85,29.81,10,10,8,17,7,25,0.00,5,,212<br />
2014-08-20,73,68,62,59,58,57,84,73,61,29.94,29.9,29.86,10,10,10,24,9,29,0.00,3,,204<br />
2014-08-21,74,68,61,61,59,57,97,81,64,29.97,29.93,29.91,10,10,10,25,10,30,0.00,2,,275<br />
2014-08-22,77,68,59,61,58,55,97,77,56,29.95,29.93,29.91,10,10,10,25,9,30,0.00,2,,276<br />
2014-08-23,75,66,57,59,56,54,93,72,50,29.96,29.91,29.86,10,10,10,14,6,24,0.00,2,,281<br />
2014-08-24,75,67,58,59,56,54,87,72,57,29.91,29.87,29.83,10,10,10,22,10,25,0.00,3,,264<br />
2014-08-25,74,68,61,57,56,54,84,69,53,29.96,29.89,29.86,10,10,10,20,8,25,0.00,4,,218<br />
2014-08-26,74,67,59,58,56,54,84,71,57,30.02,29.98,29.95,10,10,10,23,11,28,0.00,1,,283<br />
2014-08-27,74,67,60,61,59,58,90,76,61,30.07,30.03,30.0,10,10,10,26,12,30,0.00,1,,295<br />
2014-08-28,74,67,59,61,59,57,97,79,61,30.08,30.03,29.94,10,10,10,30,12,33,0.00,3,,293<br />
2014-08-29,71,66,60,61,60,57,97,83,68,29.98,29.93,29.89,10,10,9,25,10,32,0.00,6,,288<br />
2014-08-30,80,72,63,61,59,55,93,69,45,29.93,29.9,29.86,10,10,10,29,16,36,0.00,3,,282<br />
2014-08-31,75,69,62,60,58,55,90,74,57,29.94,29.89,29.85,10,10,10,26,12,31,0.00,1,,289<br />
2014-09-01,83,72,60,64,59,55,90,65,40,29.86,29.82,29.75,10,10,9,24,10,29,0.00,0,,304<br />
2014-09-02,74,67,60,60,58,57,90,76,61,29.86,29.81,29.78,10,10,9,23,11,26,0.00,1,,279<br />
2014-09-03,76,68,60,61,58,55,90,75,60,29.81,29.76,29.7,10,10,10,21,9,50,0.00,4,,265<br />
2014-09-04,76,68,60,62,58,57,90,74,58,29.81,29.75,29.72,10,10,9,17,7,20,0.00,4,,287<br />
2014-09-05,75,68,60,60,57,55,90,72,54,29.92,29.87,29.81,10,10,7,20,8,23,0.00,4,,279<br />
2014-09-06,72,66,59,58,55,54,87,72,57,29.97,29.93,29.9,10,9,8,21,9,25,0.00,4,,275<br />
2014-09-07,71,64,57,55,54,54,86,72,57,29.92,29.87,29.82,10,10,10,25,12,30,0.00,2,,270<br />
2014-09-08,68,63,58,54,53,52,80,69,58,29.96,29.9,29.86,10,10,10,24,12,29,0.00,3,,263<br />
2014-09-09,71,65,59,57,56,54,93,78,63,30.01,29.95,29.91,10,10,9,23,11,28,0.00,4,,280<br />
2014-09-10,82,69,56,63,58,52,97,72,47,29.96,29.91,29.82,10,8,0,24,9,29,0.00,2,Fog,260<br />
2014-09-11,79,69,59,62,58,56,93,74,54,29.91,29.87,29.82,10,10,10,28,12,31,0.00,1,,301<br />
2014-09-12,75,67,58,60,58,57,93,75,57,29.91,29.85,29.79,10,10,10,29,13,32,0.00,2,,300<br />
2014-09-13,75,68,60,60,58,57,90,74,57,29.86,29.82,29.78,10,10,10,26,13,32,0.00,3,,301<br />
2014-09-14,74,67,59,61,58,55,90,74,57,29.86,29.84,29.8,10,10,9,22,12,25,0.00,2,,290<br />
2014-09-15,78,70,62,61,58,54,90,66,42,29.94,29.9,29.85,10,10,10,21,12,25,0.00,2,,280<br />
2014-09-16,81,72,62,63,60,56,93,69,45,29.94,29.88,29.82,10,10,10,23,10,28,0.00,3,,275<br />
2014-09-17,82,72,62,66,60,55,90,66,42,29.83,29.79,29.74,10,10,10,25,10,32,T,3,Rain,215<br />
2014-09-18,80,72,64,66,64,62,93,76,58,29.9,29.84,29.78,10,10,8,18,7,22,0.01,5,Rain,221<br />
2014-09-19,74,69,63,63,62,61,93,81,68,29.93,29.89,29.86,10,10,10,22,11,28,0.00,3,,289<br />
2014-09-20,77,71,64,63,61,59,93,77,60,29.96,29.92,29.89,10,10,9,21,8,24,0.00,5,,290<br />
2014-09-21,72,69,65,61,60,59,84,76,68,30.02,29.99,29.94,10,10,10,20,9,24,0.00,7,,252<br />
2014-09-22,78,72,65,61,59,58,81,66,50,30.04,30.0,29.97,10,10,10,26,13,31,0.00,4,,273<br />
2014-09-23,77,71,65,65,62,59,87,76,64,30.02,29.97,29.93,10,10,9,23,11,26,T,4,,271<br />
2014-09-24,80,72,64,65,64,62,93,78,62,29.97,29.93,29.88,10,9,4,21,9,25,T,7,Rain,225<br />
2014-09-25,74,68,61,61,59,57,97,77,57,30.02,29.97,29.92,10,8,2,17,6,26,0.41,6,Rain,278<br />
2014-09-26,74,68,62,61,59,57,93,75,57,30.01,29.97,29.92,10,10,10,28,13,33,0.00,3,,274<br />
2014-09-27,73,68,63,59,58,57,90,76,61,29.93,29.89,29.84,10,10,10,26,13,32,0.00,4,,259<br />
2014-09-28,76,69,61,61,58,57,90,76,61,29.97,29.89,29.83,10,10,10,18,8,24,0.00,5,,262<br />
2014-09-29,71,66,60,59,58,57,90,78,66,30.04,30.0,29.97,10,10,9,24,12,30,0.00,4,,275<br />
2014-09-30,75,69,62,60,58,55,90,72,54,30.0,29.94,29.85,10,10,9,22,12,24,0.00,4,,276<br />
2014-10-01,86,73,60,59,51,40,84,52,19,29.99,29.91,29.85,10,10,9,21,6,26,0.00,1,,271<br />
2014-10-02,91,76,61,55,47,42,67,43,18,30.04,29.99,29.94,10,10,10,15,2,17,0.00,0,,306<br />
2014-10-03,95,81,66,66,53,41,73,46,19,30.09,30.04,29.99,10,10,10,21,5,23,0.00,0,,344<br />
2014-10-04,92,78,64,64,51,40,73,46,18,30.04,29.99,29.92,10,10,10,21,7,24,0.00,1,,305<br />
2014-10-05,87,74,60,64,56,45,84,61,37,29.97,29.92,29.87,10,10,10,28,9,31,0.00,1,,299<br />
2014-10-06,83,71,58,64,58,55,93,67,40,29.94,29.9,29.84,10,9,6,21,11,26,0.00,2,,304<br />
2014-10-07,73,66,59,58,57,55,87,70,53,29.95,29.9,29.85,10,10,10,28,14,32,0.00,3,,298<br />
2014-10-08,78,68,58,61,57,55,93,69,45,29.93,29.89,29.85,10,10,9,28,11,33,0.00,1,,294<br />
2014-10-09,68,64,59,58,57,55,93,81,68,30.01,29.96,29.92,10,10,10,23,13,25,0.00,3,,297<br />
2014-10-10,69,64,59,57,56,54,90,77,63,30.08,30.03,30.0,10,10,10,25,13,30,0.00,6,,281<br />
2014-10-11,76,68,59,60,56,53,90,70,49,30.07,30.02,29.97,10,10,10,26,8,30,0.00,4,,302<br />
2014-10-12,91,75,59,62,49,32,87,50,13,29.99,29.95,29.89,10,10,10,17,4,20,0.00,0,,274<br />
2014-10-13,88,76,63,64,54,44,78,52,26,29.97,29.93,29.9,10,10,10,15,5,18,0.00,1,,308<br />
2014-10-14,74,69,63,59,57,56,84,71,57,29.95,29.88,29.83,10,10,9,30,12,38,0.00,5,,177<br />
2014-10-15,76,69,62,59,58,55,84,69,53,30.03,29.98,29.86,10,10,10,25,10,30,T,6,Rain,233<br />
2014-10-16,73,66,58,56,53,49,84,63,41,30.04,29.99,29.94,10,10,10,15,5,18,0.00,4,,269<br />
2014-10-17,77,67,57,59,53,47,67,54,41,29.98,29.95,29.92,10,10,10,17,6,22,0.00,5,,176<br />
2014-10-18,79,72,65,62,59,56,87,68,48,29.99,29.94,29.89,10,10,10,20,6,23,0.00,2,,305<br />
2014-10-19,74,68,61,62,60,58,90,77,64,29.93,29.9,29.86,10,10,10,20,8,23,0.00,2,,291<br />
2014-10-20,72,67,62,63,58,56,84,71,57,30.07,29.97,29.91,10,9,2,18,8,22,0.03,5,Rain,247<br />
2014-10-21,72,64,56,57,54,48,90,67,44,30.12,30.07,30.03,10,10,10,23,9,26,0.00,2,,292<br />
2014-10-22,74,66,57,60,56,50,84,69,53,30.09,30.05,30.02,10,10,10,18,6,22,0.00,4,,285<br />
2014-10-23,74,69,63,62,60,57,93,75,57,30.08,30.02,29.97,10,10,10,14,6,17,0.00,4,,288<br />
2014-10-24,73,67,60,61,58,55,87,74,61,29.98,29.94,29.89,10,10,10,24,8,30,0.00,3,,154<br />
2014-10-25,73,68,63,61,58,55,87,72,57,30.15,30.02,29.89,10,9,4,26,11,32,0.10,6,Rain,189<br />
2014-10-26,70,64,58,58,53,46,90,67,44,30.18,30.13,30.06,10,10,8,23,10,32,0.00,2,,296<br />
2014-10-27,70,63,56,55,53,49,86,67,47,30.07,30.05,30.02,10,10,10,21,9,25,0.00,2,,271<br />
2014-10-28,71,63,55,60,54,49,100,73,45,30.13,30.09,30.06,10,10,10,21,8,24,0.00,1,,265<br />
2014-10-29,80,71,61,61,54,48,87,62,37,30.12,30.05,29.97,10,10,10,14,3,15,0.00,2,,311<br />
2014-10-30,74,67,60,61,57,52,90,74,57,29.96,29.92,29.88,10,10,10,18,6,22,0.00,5,,252<br />
2014-10-31,64,61,58,59,56,52,93,83,72,29.91,29.84,29.74,10,9,2,18,8,22,0.18,7,Rain,229<br />
2014-11-01,65,60,55,54,52,49,93,77,60,30.04,29.9,29.75,10,10,10,25,10,31,T,4,,263<br />
2014-11-02,66,58,49,52,49,44,89,69,48,30.17,30.13,30.05,10,10,10,22,6,25,0.00,1,,288<br />
2014-11-03,69,60,50,56,51,45,93,73,53,30.27,30.22,30.17,10,10,10,21,7,23,0.00,4,,267<br />
2014-11-04,72,61,50,56,53,51,100,75,49,30.33,30.27,30.23,10,10,10,16,4,20,0.00,2,,279<br />
2014-11-05,76,65,54,57,54,51,93,68,43,30.23,30.14,30.07,10,10,10,12,2,14,0.00,2,,300<br />
2014-11-06,74,65,56,61,57,50,97,79,61,30.23,30.19,30.14,10,10,10,23,9,28,0.00,3,,286<br />
2014-11-07,70,62,54,61,58,53,100,87,73,30.23,30.17,30.1,10,8,1,21,6,24,0.00,3,Fog,298<br />
2014-11-08,75,65,54,61,56,53,100,75,49,30.13,30.07,30.0,10,8,1,18,3,22,0.00,3,Fog,274<br />
2014-11-09,69,61,53,60,56,52,100,87,73,30.02,29.93,29.83,10,7,0,24,8,28,0.00,2,Fog,293<br />
2014-11-10,68,61,53,59,56,51,100,82,63,29.85,29.82,29.8,10,7,0,15,5,18,0.00,4,Fog,250<br />
2014-11-11,67,61,54,54,51,49,86,69,52,29.98,29.92,29.86,10,10,10,17,7,21,0.00,6,,201<br />
2014-11-12,67,62,57,55,49,46,72,60,48,30.03,29.99,29.97,10,9,2,15,5,18,0.15,7,Rain,219<br />
2014-11-13,67,62,56,61,58,55,100,87,73,30.08,30.01,29.92,10,9,2,15,9,31,0.25,6,Rain,240<br />
2014-11-14,66,61,56,57,56,54,100,87,73,30.11,30.09,30.06,10,10,9,18,10,22,0.00,4,,277<br />
2014-11-15,66,60,54,56,55,52,93,78,63,30.19,30.14,30.09,10,10,10,18,9,23,0.00,2,,287<br />
2014-11-16,63,60,56,54,38,28,86,57,27,30.26,30.22,30.17,10,10,10,24,9,26,0.00,5,,48<br />
2014-11-17,66,58,50,49,43,34,77,56,34,30.25,30.17,30.11,10,10,10,17,6,18,0.00,3,,97<br />
2014-11-18,64,58,51,51,46,40,77,65,52,30.14,30.1,30.05,10,10,10,10,2,14,0.00,6,,102<br />
2014-11-19,64,60,56,61,56,47,100,80,60,30.14,30.05,30.0,10,9,1,21,7,28,0.12,7,Rain,181<br />
2014-11-20,60,57,53,57,55,52,100,88,75,30.12,30.06,29.99,10,9,2,14,4,25,0.20,7,Rain,161<br />
2014-11-21,61,58,54,56,54,52,100,86,72,30.13,30.09,30.03,10,10,8,12,4,20,0.00,7,,89<br />
2014-11-22,65,60,55,64,59,49,100,89,77,30.25,30.12,30.06,10,8,1,26,12,33,0.15,6,Rain,247<br />
2014-11-23,66,58,49,51,48,45,89,69,48,30.35,30.3,30.25,10,10,10,14,4,24,0.00,2,,302<br />
2014-11-24,66,57,47,49,45,37,93,65,37,30.42,30.37,30.33,10,10,10,13,2,23,0.00,1,,306<br />
2014-11-25,65,57,49,51,48,45,93,75,56,30.46,30.39,30.33,10,10,10,8,1,22,0.00,1,,117<br />
2014-11-26,68,59,49,53,50,46,96,77,58,30.32,30.26,30.2,10,9,7,10,2,17,0.00,1,,118<br />
2014-11-27,64,57,50,56,53,49,100,86,72,30.19,30.12,30.06,10,7,4,15,4,17,0.00,3,,314<br />
2014-11-28,63,55,46,55,50,43,100,86,72,30.06,29.98,29.86,10,5,0,14,5,20,0.00,5,Fog,145<br />
2014-11-29,65,61,57,59,58,55,100,89,78,29.86,29.81,29.75,10,9,5,13,7,15,0.08,7,Rain,124<br />
2014-11-30,62,58,53,60,56,50,100,92,83,30.02,29.87,29.74,10,9,3,23,6,29,1.04,7,Rain,64<br />
2014-12-01,64,61,57,59,58,57,100,92,84,30.11,30.04,29.95,10,10,5,16,4,18,T,6,Rain,44<br />
2014-12-02,62,59,56,59,57,55,100,95,90,29.94,29.77,29.68,10,8,2,22,10,25,1.59,7,Rain,92<br />
2014-12-03,66,63,59,61,60,58,100,89,78,29.88,29.75,29.7,10,7,1,32,10,39,1.89,8,Rain-Thunderstorm,139<br />
2014-12-04,67,63,58,61,59,57,100,87,73,30.02,29.95,29.88,10,8,0,13,5,16,0.10,6,Fog-Rain,125<br />
2014-12-05,67,63,58,61,60,57,100,87,73,30.08,30.01,29.97,10,8,2,16,6,20,0.14,7,Rain,119<br />
2014-12-06,67,63,58,63,60,58,100,89,78,30.22,30.17,30.08,10,9,4,12,4,15,0.09,7,Rain,107<br />
2014-12-07,64,59,54,61,58,54,100,89,78,30.22,30.18,30.12,10,8,2,15,2,18,0.00,6,,193<br />
2014-12-08,68,62,56,61,58,55,100,89,78,30.18,30.15,30.12,10,10,8,10,3,12,0.00,6,,85<br />
2014-12-09,63,60,57,61,59,57,100,95,90,30.21,30.15,30.08,10,7,0,9,2,12,0.00,7,Fog,49<br />
2014-12-10,65,62,58,59,58,55,100,89,78,30.07,29.9,29.72,10,8,3,24,11,32,T,8,Rain,132<br />
